"","week_start","count_per_week","gas_price","new_covid_cases","tavg","prcp","wspd","month","season"
"120",2022-04-11,69271,4.146,318.571428571429,12.0857142857143,2.35714285714286,18.9857142857143,4,"Spring"
"121",2022-04-18,72221,4.132,329.285714285714,9.77142857142857,2.02857142857143,22.3714285714286,4,"Spring"
"122",2022-04-25,64186,4.199,390.428571428571,9.44285714285714,1.15714285714286,19.6,4,"Spring"
"123",2022-05-02,66619,4.292,446,10.7857142857143,1.34285714285714,18,5,"Spring"
"124",2022-05-09,78823,4.493,434.285714285714,14.4714285714286,0.0428571428571429,18.0285714285714,5,"Spring"
"125",2022-05-16,81829,4.744,372.428571428571,16.8428571428571,0.771428571428571,16.5142857142857,5,"Spring"
"126",2022-05-23,85704,4.812,264.285714285714,17.6714285714286,2.64285714285714,18.2,5,"Spring"
"127",2022-05-30,81546,4.829,220.714285714286,17,0.728571428571429,14.5428571428571,5,"Spring"
"128",2022-06-06,90874,5.084,188.142857142857,21,3.91428571428571,17.4142857142857,6,"Summer"
"129",2022-06-13,94499,5.151,156,20.1571428571429,1.45714285714286,18.7,6,"Summer"
"130",2022-06-20,96997,5.074,142.428571428571,19.3857142857143,0,15.1571428571429,6,"Summer"
"131",2022-06-27,85233,4.986,141,23.4142857142857,3.04285714285714,16.7285714285714,6,"Summer"
"132",2022-07-04,100804,4.91,152.142857142857,22.7428571428571,0.185714285714286,16.3,7,"Summer"
"133",2022-07-11,102301,4.765,154.428571428571,23.7571428571429,0.628571428571429,17.5857142857143,7,"Summer"
"134",2022-07-18,92461,4.67,154.142857142857,28.1142857142857,0.614285714285714,18.1,7,"Summer"
"135",2022-07-25,99119,4.568,134.285714285714,26.0571428571429,0.142857142857143,16.5571428571429,7,"Summer"
"136",2022-08-01,94199,4.529,128.428571428571,26.9428571428571,0.442857142857143,16.7571428571429,8,"Summer"
"137",2022-08-08,99777,4.462,108.428571428571,23.5285714285714,0.514285714285714,16.1571428571429,8,"Summer"
"138",2022-08-15,106512,4.34,104.428571428571,23.6285714285714,0.0428571428571429,16.4571428571429,8,"Summer"
"139",2022-08-22,124302,4.253,93,22.5714285714286,3.15714285714286,12.3857142857143,8,"Summer"
"140",2022-08-29,154912,4.148,93.8571428571429,22.5142857142857,1.2,17.2428571428571,8,"Summer"
"141",2022-09-05,137994,3.996,89.7142857142857,19.9571428571429,3.52857142857143,13.4285714285714,9,"Summer"
"142",2022-09-12,163686,3.877,112.857142857143,19.6714285714286,0.585714285714286,17.1857142857143,9,"Summer"
"143",2022-09-19,118973,3.775,123.857142857143,15.9571428571429,4.28571428571429,17.9285714285714,9,"Summer"
"144",2022-09-26,116371,3.657,122.571428571429,15.4,1.12857142857143,18.8857142857143,9,"Fall"
"145",2022-10-03,96842,3.58,94,14,3.31428571428571,20.7285714285714,10,"Fall"
"146",2022-10-10,97830,3.673,80.7142857142857,15.3714285714286,8.17142857142857,12.4571428571429,10,"Fall"
"147",2022-10-17,97980,3.712,72.1428571428571,12.6285714285714,1.74285714285714,14.5,10,"Fall"
"148",2022-10-24,85952,3.673,64.2857142857143,12.5714285714286,2.24285714285714,11.5714285714286,10,"Fall"
"149",2022-10-31,100182,3.862,68.2857142857143,15.8142857142857,0.142857142857143,16.1142857142857,10,"Fall"
"150",2022-11-07,83513,3.949,57.8571428571429,14.0857142857143,2,20.3142857142857,11,"Fall"
"151",2022-11-14,58784,3.945,51.5714285714286,4.3,2.87142857142857,20.0142857142857,11,"Fall"
"152",2022-11-21,38849,3.914,60.8571428571429,5.6,2.37142857142857,17.6285714285714,11,"Fall"
"153",2022-11-28,50638,3.841,103.285714285714,6.82857142857143,2.98571428571429,20,11,"Fall"
"154",2022-12-05,47959,3.748,111.571428571429,5.35714285714286,3.55714285714286,18.4714285714286,12,"Winter"
"155",2022-12-12,31694,3.618,116,2.02857142857143,5.3,25.5571428571429,12,"Winter"
"156",2022-12-19,20281,3.499,106.285714285714,-0.114285714285714,2.91428571428571,24.6714285714286,12,"Winter"
"157",2022-12-26,18562,3.448,118.285714285714,4.44285714285714,1.41428571428571,15.8428571428571,12,"Winter"
"158",2023-01-02,24579,3.448,120.857142857143,3.8,3.91428571428571,13.6285714285714,1,"Winter"
"159",2023-01-09,32096,3.415,93,2.62857142857143,2.62857142857143,19.5,1,"Winter"
"160",2023-01-16,30224,3.402,75.7142857142857,2.15714285714286,5.27142857142857,16.1285714285714,1,"Winter"
"161",2023-01-23,37055,3.483,66.8571428571429,3.41428571428571,6.9,19.8,1,"Winter"
"162",2023-01-30,32741,3.521,68.2857142857143,-2.7,0.142857142857143,20.3142857142857,1,"Winter"
"163",2023-02-06,47181,3.508,63.1428571428571,4.4,0.142857142857143,16.6,2,"Winter"
"164",2023-02-13,47000,3.483,53.1428571428571,6.11428571428571,0.3,17.4857142857143,2,"Winter"
"165",2023-02-20,30857,3.446,40,0.971428571428571,3.5,17.0428571428571,2,"Winter"
"166",2023-02-27,35806,3.368,29.7142857142857,1.84285714285714,4.27142857142857,20.4142857142857,2,"Winter"
"167",2023-03-06,43419,3.378,27,3.44285714285714,0.214285714285714,21.9,3,"Winter"
"168",2023-03-13,40203,3.392,26.4285714285714,4.82857142857143,9.25714285714286,23.7142857142857,3,"Winter"
"169",2023-03-20,53137,3.36,22.1428571428571,7.28571428571429,0.257142857142857,19.3428571428571,3,"Winter"
"170",2023-03-27,48295,3.342,21,5.88571428571429,3.84285714285714,17.5857142857143,3,"Spring"
"171",2023-04-03,62069,3.367,16.5714285714286,6.98571428571429,0.0428571428571429,17.6285714285714,4,"Spring"
"172",2023-04-10,89003,3.474,16.4285714285714,15.0857142857143,0,16.0857142857143,4,"Spring"
"173",2023-04-17,65272,3.496,10,9.48571428571429,2.94285714285714,19.9428571428571,4,"Spring"
"174",2023-04-24,66900,3.617,11.1428571428571,9.91428571428571,7,17.8142857142857,4,"Spring"
"175",2023-05-01,81675,3.606,12.5714285714286,12.8,1.04285714285714,18.4,5,"Spring"
"176",2023-05-08,95441,3.55,9.57142857142857,18.4142857142857,0,17.2857142857143,5,"Spring"
"177",2023-05-15,82770,3.527,11.2857142857143,15.7714285714286,7.04285714285714,20.7285714285714,5,"Spring"
"178",2023-05-22,89638,3.539,9.42857142857143,15.6,0.114285714285714,16.7714285714286,5,"Spring"
"179",2023-05-29,75003,3.634,9.57142857142857,16.2714285714286,1.98571428571429,18.9857142857143,5,"Spring"
"180",2023-06-05,81581,3.638,12.2857142857143,15.5714285714286,1.67142857142857,13.0285714285714,6,"Summer"
"181",2023-06-12,83648,3.642,9.85714285714286,19.1571428571429,4.64285714285714,14.4571428571429,6,"Summer"
"182",2023-06-19,96520,3.645,10,18.6714285714286,0.257142857142857,14.2142857142857,6,"Summer"
"183",2023-06-26,87568,3.649,6.57142857142857,21.8,5.08571428571429,14.3571428571429,6,"Summer"
"184",2023-07-03,88428,3.667,7.28571428571429,22.9571428571429,5.28571428571429,12.5857142857143,7,"Summer"
"185",2023-07-10,87324,3.651,11,24.6,9.01428571428571,15.4857142857143,7,"Summer"
"186",2023-07-17,107780,3.648,9,24.1714285714286,7.18571428571429,12.5571428571429,7,"Summer"
"187",2023-07-24,94757,3.668,13.2857142857143,24.7285714285714,15.1714285714286,16.4,7,"Summer"
"188",2023-07-31,110198,3.78,17.7142857142857,21.8,0,15.0857142857143,7,"Summer"
"189",2023-08-07,99167,3.892,21.8571428571429,23.6571428571429,5.7,17.7428571428571,8,"Summer"
"190",2023-08-14,94936,3.874,26.2857142857143,21.5571428571429,7.22857142857143,14.3,8,"Summer"
"191",2023-08-21,94439,3.886,31.7142857142857,21.4285714285714,7.51428571428571,15.0714285714286,8,"Summer"
"192",2023-08-28,100151,3.863,30.4285714285714,20.0571428571429,3.05714285714286,13.5285714285714,8,"Summer"
"193",2023-09-04,102394,3.841,34.7142857142857,24.6428571428571,1.2,10.4,9,"Summer"
"194",2023-09-11,105601,3.842,29.8571428571429,20.3142857142857,4.07142857142857,16.6714285714286,9,"Summer"
"195",2023-09-18,90665,3.88,32.7142857142857,17.5857142857143,7.07142857142857,17.6142857142857,9,"Summer"
